dollar_value,mass,diameter,src
0.01,2.5,19.05,gfx/USD/001.png
0.05,5.0,21.209,gfx/USD/005.png
0.1,2.2680000000000002,17.91,gfx/USD/010.png
0.25,6.67,24.256999999999998,gfx/USD/025.png
1.0,8.1,26.491999999999997,gfx/USD/100.png
0.01141267,2.3,16.25,gfx/EUR/001.png
0.02282534,3.06,18.75,gfx/EUR/002.png
0.057063350000000006,3.92,21.25,gfx/EUR/005.png
0.11412670000000001,4.1,19.75,gfx/EUR/010.png
0.22825340000000002,5.74,22.25,gfx/EUR/020.png
0.5706335,7.8,24.25,gfx/EUR/050.png
1.141267,7.5,23.25,gfx/EUR/100.png
2.282534,8.5,25.75,gfx/EUR/200.png
0.008834999999999999,1.0,20.0,gfx/JPY/100.png
0.04417499999999999,3.75,22.0,gfx/JPY/500.png
0.08834999999999998,4.5,23.5,gfx/JPY/1000.png
0.44175,4.0,21.0,gfx/JPY/5000.png
0.8835,4.8,22.6,gfx/JPY/10000.png
4.4174999999999995,7.0,26.5,gfx/JPY/50000.png
0.012888549999999999,3.56,20.3,gfx/GBP/001.png
0.025777099999999997,7.12,25.9,gfx/GBP/002.png
0.06444275,3.25,18.0,gfx/GBP/005.png
0.1288855,6.5,24.5,gfx/GBP/010.png
0.257771,5.0,21.4,gfx/GBP/020.png
0.6444274999999999,8.0,27.3,gfx/GBP/050.png
1.2888549999999999,8.75,23.43,gfx/GBP/100.png
2.5777099999999997,12.0,28.4,gfx/GBP/200.png
0.03835945,2.83,19.41,gfx/AUD/005.png
0.0767189,5.65,23.6,gfx/AUD/010.png
0.1534378,11.3,28.65,gfx/AUD/020.png
0.3835945,15.55,32.2,gfx/AUD/050.png
0.767189,9.0,25.0,gfx/AUD/100.png
1.534378,6.6,20.5,gfx/AUD/200.png
0.03916075,3.95,21.2,gfx/CAD/005.png
0.0783215,1.75,18.03,gfx/CAD/010.png
0.19580375,4.4,23.88,gfx/CAD/025.png
0.783215,6.27,26.5,gfx/CAD/100.png
1.56643,6.92,28.0,gfx/CAD/200.png
0.05182885000000001,1.8,17.15,gfx/CHF/005.png
0.10365770000000002,3.0,19.15,gfx/CHF/010.png
0.20731540000000004,4.0,21.05,gfx/CHF/020.png
0.5182885,2.2,18.2,gfx/CHF/050.png
1.036577,4.4,23.2,gfx/CHF/100.png
2.073154,8.8,27.4,gfx/CHF/200.png
5.182885000000001,13.2,31.45,gfx/CHF/500.png
0.147323,6.1,25.0,gfx/CNY/100.png
0.0736615,3.8,20.5,gfx/CNY/050.png
0.014732300000000002,3.22,19.03,gfx/CNY/010.png
0.118799,3.6,19.5,gfx/SEK/100.png
0.237598,4.8,22.5,gfx/SEK/200.png
0.593995,6.1,23.75,gfx/SEK/500.png
1.18799,6.6,20.5,gfx/SEK/1000.png
0.072599,3.3,20.5,gfx/NZD/010.png
0.145198,4.0,21.75,gfx/NZD/020.png
0.36299499999999996,5.0,24.75,gfx/NZD/050.png
0.7259899999999999,8.0,23.0,gfx/NZD/100.png
1.4519799999999998,10.0,26.5,gfx/NZD/200.png
